City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,DateTime
Luderitz,-26.65,15.16,68.0,64.0,100.0,12.75,NA,1591198387
Mahebourg,-20.41,57.7,71.6,78.0,75.0,11.41,MU,1591198387
Waitati,-45.75,170.57,51.01,91.0,100.0,23.0,NZ,1591198387
Butaritari,3.07,172.79,82.0,77.0,100.0,5.21,KI,1591198387
Belushya Guba,,,,,,,,
Vaitupu,,,,,,,,
Oum Hadjer,13.3,19.7,106.77,9.0,9.0,3.78,TD,1591198388
Metu,8.3,35.58,62.44,94.0,94.0,2.17,ET,1591198388
Mantua,45.17,10.78,80.01,53.0,58.0,7.0,IT,1591198388
Troitsko-Pechorsk,62.71,56.2,55.87,48.0,0.0,3.22,RU,1591198388
Raudeberg,61.99,5.14,50.0,88.0,99.0,27.74,NO,1591198389
Vanimo,-2.67,141.3,79.48,84.0,100.0,3.33,PG,1591198389
Zavyalovo,54.51,82.45,50.0,61.0,98.0,4.47,RU,1591198389
Esperance,-33.87,121.9,55.4,76.0,48.0,11.41,AU,1591198389
Jamestown,42.1,-79.24,70.0,88.0,90.0,13.87,US,1591198389
Port Alfred,-33.59,26.89,63.0,88.0,100.0,3.0,ZA,1591198389
San Cristobal,7.77,-72.22,86.0,55.0,40.0,8.05,VE,1591198389
Asfi,32.3,-9.24,71.64,66.0,0.0,11.86,MA,1591198390
Saleaula,,,,,,,,
Taolanaro,,,,,,,,
Hilo,19.73,-155.09,71.6,78.0,75.0,4.7,US,1591198390
Tuatapere,-46.13,167.68,47.73,90.0,100.0,10.45,NZ,1591198390
Cape Town,-33.93,18.42,64.4,68.0,20.0,16.11,ZA,1591198390
Nome,64.5,-165.41,48.2,87.0,20.0,2.62,US,1591198390
Waris Aliganj,25.02,85.63,87.6,48.0,100.0,6.93,IN,1591198391
Bairiki,1.33,172.98,78.8,88.0,75.0,2.24,KI,1591198391
San Quintin,30.48,-115.95,71.38,64.0,5.0,7.23,MX,1591198391
Saint-Philippe,-21.36,55.77,71.6,60.0,38.0,21.92,RE,1591198391
Toliary,,,,,,,,
Ponta Do Sol,32.67,-17.1,71.6,64.0,20.0,21.92,PT,1591198391
Mopti,14.67,-4.0,105.8,26.0,47.0,13.87,ML,1591198392
Rorvik,64.86,11.24,48.2,76.0,100.0,16.11,NO,1591198392
Hermanus,-34.42,19.23,61.0,92.0,72.0,12.68,ZA,1591198392
Barbar,,,,,,,,
Shushenskoye,53.33,91.94,55.4,62.0,73.0,2.24,RU,1591198392
Ancud,-41.87,-73.82,45.0,75.0,9.0,3.33,CL,1591198392
Hasaki,35.73,140.83,68.0,100.0,75.0,5.82,JP,1591198392
Longyearbyen,78.22,15.64,37.4,74.0,40.0,10.29,SJ,1591198393
East London,-33.02,27.91,68.0,77.0,39.0,13.87,ZA,1591198393
Sentyabrskiy,,,,,,,,
Yellowknife,62.46,-114.35,41.0,56.0,20.0,10.29,CA,1591198393
Nizhneyansk,,,,,,,,
Ribeira Grande,38.52,-28.7,64.4,77.0,75.0,8.05,PT,1591198393
San Andres,12.58,-81.7,87.8,74.0,75.0,10.29,CO,1591198393
Nikolskoye,59.7,30.79,66.2,42.0,88.0,11.18,RU,1591198393
Lamar,33.67,-95.58,84.0,69.0,1.0,10.29,US,1591198394
Killybegs,54.63,-8.45,55.4,62.0,20.0,23.04,IE,1591198394
Port Elizabeth,-33.92,25.57,64.4,82.0,100.0,12.75,ZA,1591198384
Sumbawa,,,,,,,,
Zhuanghe,39.7,122.99,64.0,85.0,3.0,6.96,CN,1591198394
Bail Hongal,15.82,74.87,71.6,94.0,90.0,13.87,IN,1591198394
Saskylakh,71.92,114.08,49.42,48.0,76.0,10.07,RU,1591198394
Hovd,48.01,91.64,65.66,32.0,55.0,2.62,MN,1591198395
Namatanai,-3.67,152.43,80.28,77.0,64.0,4.47,PG,1591198395
Dangriga,16.97,-88.23,88.0,84.0,40.0,9.17,BZ,1591198395
Bredasdorp,-34.53,20.04,62.6,27.0,92.0,5.82,ZA,1591198395
La Victoria,10.22,-67.33,81.0,51.0,41.0,3.58,VE,1591198395
Kruisfontein,-34.0,24.73,57.51,91.0,100.0,5.64,ZA,1591198395
Palembang,-2.92,104.75,75.63,96.0,88.0,3.47,ID,1591198395
Carlisle,40.2,-77.19,78.01,69.0,98.0,1.01,US,1591198325
Bauska,56.41,24.19,60.8,55.0,90.0,5.82,LV,1591198396
Saint George,37.1,-113.58,82.0,22.0,1.0,5.82,US,1591198396
Kieta,-6.22,155.63,79.23,80.0,96.0,4.97,PG,1591198396
Airai,-8.93,125.41,55.98,100.0,92.0,4.38,TL,1591198396
Ambulu,-8.35,113.61,76.35,86.0,100.0,5.23,ID,1591198396
Touros,-5.2,-35.46,84.2,74.0,75.0,12.75,BR,1591198397
Codrington,-38.27,141.97,41.76,87.0,0.0,2.73,AU,1591198397
Eureka,40.8,-124.16,57.99,28.0,30.0,6.8,US,1591198397
Kuche,,,,,,,,
Amderma,,,,,,,,
Mogadouro,41.34,-6.71,72.0,62.0,81.0,5.01,PT,1591198397
Upernavik,72.79,-56.15,30.9,93.0,100.0,6.62,GL,1591198398
Glendive,47.11,-104.71,69.01,59.0,1.0,9.17,US,1591198398
Luanda,-8.84,13.23,80.6,83.0,20.0,9.17,AO,1591198398
Clearwater,27.97,-82.8,82.99,74.0,40.0,8.05,US,1591198186
Khormuj,,,,,,,,
Gondal,21.97,70.8,83.37,63.0,79.0,7.4,IN,1591198398
Phuket,8.0,98.25,78.8,94.0,20.0,3.36,TH,1591198398
Finnsnes,69.23,17.98,50.0,64.0,75.0,5.82,NO,1591198399
Boda,4.32,17.47,76.5,82.0,70.0,4.88,CF,1591198399
Villazon,-22.09,-65.59,48.15,39.0,0.0,9.28,BO,1591198399
Agua Verde,22.9,-106.05,81.0,74.0,75.0,4.72,MX,1591198399
North Ogden,41.31,-111.96,75.0,28.0,1.0,6.93,US,1591198322
Galiwinku,,,,,,,,
Ternate,0.8,127.4,79.99,80.0,100.0,4.81,ID,1591198399
Mitu,1.2,-70.17,79.36,80.0,100.0,1.39,CO,1591198399
San Rafael,-34.62,-68.33,42.24,87.0,100.0,18.66,AR,1591198399
Senneterre,48.38,-77.23,50.0,93.0,90.0,6.93,CA,1591198400
Hithadhoo,-0.6,73.08,84.74,65.0,98.0,6.6,MV,1591198400
Sattahip,12.67,100.9,80.6,88.0,40.0,4.7,TH,1591198400
Evensk,61.95,159.23,40.08,90.0,97.0,4.83,RU,1591198400
Maumere,-8.62,122.21,78.21,79.0,96.0,5.77,ID,1591198400
Klaksvik,62.23,-6.59,44.6,87.0,95.0,9.17,FO,1591198401
Khatanga,71.97,102.5,51.55,49.0,26.0,12.1,RU,1591198205
Khonsar,,,,,,,,
Tortoli,39.93,9.66,77.0,53.0,5.0,6.93,IT,1591198401
Cabo San Lucas,22.89,-109.91,84.0,61.0,5.0,3.36,MX,1591198401
Mount Isa,-20.73,139.5,51.8,40.0,37.0,5.82,AU,1591198401
Leningradskiy,69.38,178.42,37.67,79.0,16.0,3.58,RU,1591198401
Cap Malheureux,-19.98,57.61,71.01,74.0,46.0,5.99,MU,1591198401
Tayu,-6.54,111.05,80.69,81.0,100.0,10.92,ID,1591198402
Agadez,19.75,10.25,109.31,7.0,15.0,6.82,NE,1591198402
Caravelas,-17.71,-39.25,79.81,75.0,2.0,9.53,BR,1591198402
Kodiak,57.79,-152.41,46.4,93.0,90.0,19.46,US,1591198402
Kavaratti,10.57,72.64,84.4,78.0,99.0,19.15,IN,1591198402
Dingle,11.0,122.67,79.61,80.0,41.0,2.15,PH,1591198402
Atar,20.52,-13.05,105.8,18.0,69.0,6.93,MR,1591198403
Faanui,-16.48,-151.75,80.08,70.0,0.0,6.29,PF,1591198403
Berwick,41.05,-76.23,66.99,89.0,100.0,3.0,US,1591198403
Mehamn,71.04,27.85,48.2,61.0,75.0,4.7,NO,1591198403
Ust-Nera,64.57,143.2,48.31,51.0,99.0,6.24,RU,1591198403
Cherskiy,68.75,161.3,38.98,75.0,14.0,9.19,RU,1591198403
Coahuayana,18.73,-103.68,69.8,94.0,75.0,3.65,MX,1591198403
Agirish,61.92,63.02,49.35,49.0,3.0,4.29,RU,1591198404
Tukrah,32.53,20.58,70.45,55.0,0.0,9.93,LY,1591198404
Kovdor,67.57,30.48,63.91,61.0,67.0,6.24,RU,1591198404
Paso De Los Toros,-32.82,-56.52,57.2,62.0,40.0,5.46,UY,1591198404
Aloleng,16.13,119.78,85.26,66.0,86.0,1.36,PH,1591198404
Mizdah,31.45,12.98,90.43,17.0,5.0,8.32,LY,1591198404
Bukachacha,52.98,116.92,49.68,63.0,100.0,2.21,RU,1591198405
San Matias,-16.37,-58.4,74.46,59.0,91.0,3.83,BO,1591198405
Sept-Iles,50.2,-66.38,45.0,81.0,90.0,11.41,CA,1591198405
Kalmunai,7.42,81.82,83.37,62.0,6.0,9.51,LK,1591198405
Sao Joao Da Barra,-21.64,-41.05,80.6,54.0,15.0,2.24,BR,1591198405
Samusu,,,,,,,,
Braintree,51.88,0.55,68.0,60.0,93.0,1.99,GB,1591198405
Traverse City,44.76,-85.62,71.6,53.0,20.0,5.82,US,1591198375
Kaitangata,-46.28,169.85,50.0,91.0,100.0,1.01,NZ,1591198406
Kahului,20.89,-156.47,71.6,83.0,1.0,6.58,US,1591198358
Attawapiskat,,,,,,,,
Pilar,-9.6,-35.96,80.6,88.0,75.0,11.41,BR,1591198406
Florence,43.77,11.25,79.0,44.0,20.0,11.41,IT,1591198141
Mugur-Aksy,50.35,90.5,46.87,56.0,37.0,1.39,RU,1591198406
Chokwe,-24.53,32.98,70.48,45.0,0.0,4.23,MZ,1591198406
Comacchio,44.7,12.19,80.01,57.0,24.0,8.05,IT,1591198407
Berlevag,70.86,29.09,48.2,61.0,75.0,4.7,NO,1591198407
Lebu,-37.62,-73.65,53.65,63.0,0.0,10.0,CL,1591198407
Chuy,-33.7,-53.46,59.92,56.0,38.0,2.21,UY,1591198407
Avarua,-21.21,-159.78,75.2,78.0,9.0,11.41,CK,1591198407
Hobyo,5.35,48.53,83.82,67.0,39.0,23.64,SO,1591198407
Sarkand,45.41,79.92,70.09,34.0,14.0,7.74,KZ,1591198407
Guerrero Negro,27.98,-114.06,73.71,53.0,0.0,7.29,MX,1591198408
Qaqortoq,60.72,-46.03,53.6,81.0,75.0,4.7,GL,1591198408
Newport,51.59,-3.0,59.0,93.0,100.0,1.01,GB,1591198408
Coffs Harbour,-30.3,153.13,57.2,54.0,43.0,12.75,AU,1591198408
Pedregulho,-20.26,-47.48,76.87,49.0,0.0,2.46,BR,1591198253
Praia Da Vitoria,38.73,-27.07,62.6,93.0,90.0,23.31,PT,1591198408
Puerto Ayora,-0.74,-90.35,80.6,65.0,20.0,12.75,EC,1591198408
Lityn,49.33,28.08,57.2,67.0,40.0,4.47,UA,1591198409
Maraa,-1.83,-65.37,85.77,70.0,62.0,4.56,BR,1591198409
Melilla,35.29,-2.94,86.0,44.0,0.0,12.75,ES,1591198409
Harbour Breton,47.48,-55.8,44.01,88.0,98.0,15.97,CA,1591198409
Qaanaaq,77.48,-69.36,29.88,92.0,97.0,9.33,GL,1591198409
Okhotsk,59.38,143.3,39.69,77.0,95.0,3.94,RU,1591198409
Santa Cruz De La Palma,28.68,-17.76,73.4,78.0,75.0,6.93,ES,1591198409
Portobelo,9.55,-79.65,84.99,66.0,100.0,4.0,PA,1591198410
Springdale,36.19,-94.13,81.0,78.0,1.0,9.17,US,1591198283
Padang,-0.95,100.35,80.13,80.0,96.0,3.31,ID,1591198410
Weatherford,32.76,-97.8,82.99,75.0,0.0,4.0,US,1591198410
Coquimbo,-29.95,-71.34,51.8,87.0,75.0,5.82,CL,1591198410
Port Lincoln,-34.73,135.87,52.7,77.0,1.0,8.32,AU,1591198410
Mar Del Plata,-38.0,-57.56,53.01,81.0,90.0,13.87,AR,1591198410
Kilinochchi,9.4,80.4,81.81,78.0,97.0,12.5,LK,1591198411
Jeremie,18.65,-74.12,85.77,62.0,74.0,7.2,HT,1591198411
Baruun-Urt,46.68,113.28,48.27,71.0,23.0,3.02,MN,1591198411
Faya,18.39,42.45,86.0,9.0,20.0,17.22,SA,1591198411
Thompson,55.74,-97.86,51.8,66.0,75.0,4.7,CA,1591198248
Andevoranto,,,,,,,,
Iracoubo,5.48,-53.2,81.61,84.0,3.0,9.28,GF,1591198412
Butte,39.65,-121.57,77.0,57.0,1.0,1.19,US,1591198412
Fianga,,,,,,,,
Carnarvon,-24.87,113.63,73.85,42.0,0.0,8.7,AU,1591198412
Beira,-19.84,34.84,77.0,69.0,20.0,8.05,MZ,1591198412
Sorland,67.67,12.69,46.4,75.0,40.0,12.75,NO,1591198412
Kirakira,-10.45,161.92,80.44,79.0,100.0,6.15,SB,1591198412
Nantucket,41.28,-70.1,62.6,82.0,75.0,12.75,US,1591198413
Kulunda,52.57,78.94,58.21,44.0,64.0,8.66,RU,1591198413
Awbari,26.59,12.78,100.96,8.0,0.0,15.05,LY,1591198413
Saldanha,-33.01,17.94,68.0,60.0,38.0,13.87,ZA,1591198413
Orthez,43.49,-0.77,75.0,82.0,75.0,5.82,FR,1591198413
Kadykchan,,,,,,,,
Dzilam Gonzalez,21.28,-88.93,78.01,99.0,100.0,9.31,MX,1591198413
College,64.86,-147.8,51.8,87.0,75.0,2.17,US,1591198413
Mullaitivu,,,,,,,,
Sitka,57.05,-135.33,46.4,87.0,75.0,8.05,US,1591198414
Altamira,-3.2,-52.21,84.2,79.0,75.0,9.17,BR,1591198277
Havre-Saint-Pierre,50.23,-63.6,42.8,87.0,90.0,11.41,CA,1591198414
Liuhe,42.24,125.72,53.37,86.0,60.0,7.4,CN,1591198414
Moengo,5.62,-54.4,82.02,87.0,50.0,4.81,SR,1591198414
Champerico,14.3,-91.92,73.4,100.0,90.0,4.54,GT,1591198414
Houma,29.6,-90.72,87.01,78.0,40.0,3.36,US,1591198415
Nanortalik,60.14,-45.24,49.68,86.0,45.0,5.44,GL,1591198415
Methoni,36.82,21.7,78.8,27.0,20.0,13.87,GR,1591198415
Hvammstangi,,,,,,,,
Mirnyy,62.54,113.96,55.4,45.0,40.0,4.47,RU,1591198415
Grafton,42.21,-71.69,77.0,64.0,95.0,3.0,US,1591198415
Vallenar,-28.57,-70.76,56.88,60.0,97.0,6.67,CL,1591198415
Severo-Kurilsk,50.68,156.12,45.28,82.0,100.0,9.26,RU,1591198416
Poum,-20.23,164.02,74.89,88.0,100.0,20.85,NC,1591198416
Bilibino,68.05,166.44,50.11,63.0,100.0,2.01,RU,1591198416
Chokurdakh,70.63,147.92,35.49,82.0,79.0,10.27,RU,1591198416
Monrovia,6.3,-10.8,87.8,74.0,75.0,11.41,LR,1591198416
Sofiysk,,,,,,,,
Diego De Almagro,-26.37,-70.05,62.02,38.0,2.0,9.1,CL,1591198416
Espanola,35.99,-106.08,68.0,45.0,1.0,3.36,US,1591198417
Saint-Pierre,-21.34,55.48,71.6,60.0,4.0,21.92,RE,1591198417
Bethel,41.37,-73.41,75.0,64.0,1.0,6.93,US,1591198417
Marzuq,14.4,46.47,77.7,62.0,100.0,11.03,YE,1591198417
Gorno-Chuyskiy,,,,,,,,
Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,100.0,75.0,2.24,RU,1591198417
Bengkulu,-3.8,102.27,76.86,93.0,100.0,9.28,ID,1591198417
Saryshagan,,,,,,,,
Mys Shmidta,,,,,,,,
Teknaf,20.86,92.31,82.24,76.0,82.0,2.06,BD,1591198418
Portland,45.52,-122.68,57.99,71.0,75.0,5.82,US,1591197986
Santa Maria Del Oro,25.93,-105.37,81.93,25.0,0.0,1.77,MX,1591198418
Bathsheba,13.22,-59.52,87.8,62.0,40.0,20.8,BB,1591198418
Uncia,-18.47,-66.57,48.74,39.0,4.0,27.45,BO,1591198419
Fort-Shevchenko,44.51,50.26,73.24,62.0,0.0,7.83,KZ,1591198419
Port-Gentil,-0.72,8.78,82.4,83.0,75.0,13.87,GA,1591198419
Chiplun,17.53,73.52,78.49,81.0,100.0,8.12,IN,1591198419
Tumannyy,,,,,,,,
Conceicao Do Araguaia,-8.26,-49.26,85.78,64.0,99.0,2.98,BR,1591198419
Georgetown,5.41,100.34,82.4,94.0,20.0,2.24,MY,1591198420
Baykit,61.67,96.37,50.94,71.0,91.0,4.03,RU,1591198420
Ixtapa,20.7,-105.2,81.0,74.0,75.0,4.7,MX,1591198311
Daltenganj,24.03,84.07,80.69,58.0,99.0,3.51,IN,1591198420
Yangambi,0.81,24.43,72.5,98.0,100.0,2.46,CD,1591198420
Bam,29.11,58.36,93.72,10.0,0.0,9.33,IR,1591198328
Saint-Augustin,51.23,-58.65,41.36,88.0,100.0,15.46,CA,1591198420
Tupik,54.43,119.93,45.99,64.0,100.0,1.07,RU,1591198420
Coos Bay,43.37,-124.22,55.0,87.0,1.0,9.17,US,1591198421
Huangchuan,32.13,115.04,76.84,54.0,3.0,8.86,CN,1591198421
Gonbad-E Qabus,37.25,55.17,89.6,46.0,20.0,6.93,IR,1591198421
Tazovskiy,67.47,78.7,42.24,70.0,86.0,13.44,RU,1591198421
Lompoc,34.64,-120.46,57.2,93.0,90.0,3.51,US,1591198421
Fort Morgan,40.25,-103.8,69.8,64.0,1.0,5.82,US,1591198250
Charlestown,-32.95,151.67,55.99,71.0,16.0,5.99,AU,1591198391
Rocha,-34.48,-54.33,60.03,50.0,33.0,1.72,UY,1591198421
Lorengau,-2.02,147.27,81.16,76.0,68.0,2.62,PG,1591198422
Swinoujscie,53.91,14.25,73.0,30.0,1.0,4.7,PL,1591198422
Kumbo,6.2,10.67,69.22,82.0,19.0,2.21,CM,1591198422
Norman Wells,65.28,-126.83,42.8,60.0,75.0,6.93,CA,1591198422
Bandarbeyla,9.49,50.81,81.97,76.0,55.0,23.96,SO,1591198422
Ubrique,36.68,-5.45,80.6,42.0,29.0,13.87,ES,1591198422
Nuevo Imperial,-13.08,-76.32,67.64,73.0,97.0,4.0,PE,1591198423
Harboore,56.62,8.18,71.01,67.0,91.0,1.01,DK,1591198423
Nyrob,60.73,56.72,54.46,54.0,0.0,2.57,RU,1591198423
Halalo,,,,,,,,
Flinders,-34.58,150.86,55.0,60.0,33.0,5.99,AU,1591198423
Port Alberni,49.24,-124.8,53.01,88.0,37.0,0.96,CA,1591198174
Conceicao Da Barra,-18.59,-39.73,82.69,59.0,5.0,7.65,BR,1591198423
Shelburne,44.08,-80.2,70.0,88.0,20.0,3.36,CA,1591198144
Achinsk,56.27,90.5,45.16,85.0,1.0,8.39,RU,1591198424
Cururupu,-1.83,-44.87,81.23,90.0,32.0,5.97,BR,1591198424
Tonantins,-2.87,-67.8,87.58,57.0,95.0,4.27,BR,1591198424
Nipawin,53.37,-104.0,64.4,42.0,40.0,6.93,CA,1591198248
Pevek,69.7,170.31,37.65,79.0,0.0,4.18,RU,1591198424
Afmadu,,,,,,,,
Kimi,,,,,,,,
Bytosh,53.82,34.09,68.0,34.0,40.0,4.47,RU,1591198425
Adrar,20.5,-10.07,97.86,18.0,72.0,18.7,MR,1591198425
Hualmay,-11.1,-77.61,69.26,71.0,79.0,11.88,PE,1591198425
Nurota,40.56,65.69,91.4,16.0,0.0,6.93,UZ,1591198425
Ekhabi,53.51,142.97,37.33,97.0,100.0,10.16,RU,1591198425
Lima,-12.04,-77.03,64.4,88.0,90.0,6.93,PE,1591198327
Dubenskiy,,,,,,,,
Lavrentiya,65.58,-171.0,37.94,78.0,0.0,2.17,RU,1591198426
Port Macquarie,-31.43,152.92,55.0,71.0,62.0,14.09,AU,1591198250
Mingguang,32.78,117.96,77.14,72.0,98.0,8.61,CN,1591198426
Vredendal,-31.67,18.5,67.89,43.0,100.0,8.01,ZA,1591198426
Margate,51.38,1.39,66.0,79.0,99.0,3.0,GB,1591198426
Ouallam,14.32,2.09,106.83,17.0,58.0,4.68,NE,1591198426
Lagos,6.58,3.75,89.6,66.0,20.0,6.93,NG,1591198162
Mount Gambier,-37.83,140.77,37.4,93.0,0.0,2.24,AU,1591198427
Half Moon Bay,37.46,-122.43,73.0,56.0,20.0,4.09,US,1591198427
Honningsvag,70.98,25.97,44.82,77.0,70.0,8.1,NO,1591198427
Boguchany,58.38,97.45,47.71,92.0,93.0,6.22,RU,1591198427
Iqaluit,63.75,-68.51,41.0,60.0,75.0,16.11,CA,1591198132
Henties Bay,-22.12,14.28,73.56,39.0,0.0,11.03,NA,1591198427
Bemidji,47.47,-94.88,69.01,42.0,1.0,8.05,US,1591198263
Warqla,,,,,,,,
Grand-Santi,4.25,-54.38,87.66,60.0,45.0,3.89,GF,1591198428
Hamilton,39.18,-84.53,82.99,54.0,1.0,13.87,US,1591198428
Geraldton,-28.77,114.6,57.2,76.0,0.0,6.93,AU,1591198428
Auki,-8.77,160.7,79.14,82.0,99.0,4.9,SB,1591198428
Krasnoyarsk-45,,,,,,,,
Sorvag,,,,,,,,
Fatsa,41.03,37.5,66.2,93.0,75.0,8.05,TR,1591198429
Komsomolskiy,40.43,71.72,87.8,22.0,100.0,4.14,UZ,1591198429
Faridan,,,,,,,,
Farafangana,-22.82,47.83,69.08,87.0,13.0,9.73,MG,1591198429
Khandyga,62.67,135.6,48.72,52.0,1.0,2.1,RU,1591198430
Sydney,-33.87,151.21,55.99,62.0,75.0,18.34,AU,1591198218
Jinchang,38.5,102.17,73.29,17.0,17.0,5.26,CN,1591198430
Hella,67.2,14.43,50.0,57.0,20.0,11.41,NO,1591198430
Palmer,42.16,-72.33,75.99,56.0,75.0,6.24,US,1591198430
Belyy Yar,53.6,91.39,55.4,62.0,30.0,2.24,RU,1591198430
Severo-Yeniseyskiy,60.37,93.04,45.27,97.0,100.0,2.55,RU,1591198431
Goderich,43.75,-81.72,69.01,92.0,68.0,11.97,CA,1591198248
Sinnamary,5.38,-52.95,83.05,77.0,2.0,9.84,GF,1591198431
Verkhnevilyuysk,63.45,120.32,54.75,43.0,27.0,1.32,RU,1591198431
Tuy Hoa,13.08,109.3,79.7,86.0,99.0,7.02,VN,1591198431
Kachug,53.96,105.88,48.87,67.0,49.0,0.13,RU,1591198431
Murdochville,48.96,-65.5,43.25,63.0,100.0,12.8,CA,1591198431
Linchuan,,,,,,,,
Narsaq,60.92,-46.05,53.6,81.0,75.0,4.7,GL,1591198432
Makakilo City,21.35,-158.09,75.2,73.0,20.0,4.7,US,1591198432
Derzhavinsk,51.1,66.32,65.05,54.0,22.0,17.0,KZ,1591198432
Nalut,30.33,10.85,97.14,12.0,1.0,8.81,LY,1591198432
Huarmey,-10.07,-78.15,71.55,66.0,18.0,11.99,PE,1591198432
Turbat,26.0,63.04,88.36,60.0,0.0,7.23,PK,1591198433
Svetlyy,54.67,20.13,57.2,71.0,75.0,8.95,RU,1591198433
Les Cayes,18.2,-73.75,85.93,64.0,84.0,9.91,HT,1591198433
Paucartambo,,,,,,,,
Nemuro,43.32,145.57,47.82,92.0,3.0,4.9,JP,1591198433
Vila Velha,-20.33,-40.29,77.0,69.0,2.0,10.29,BR,1591198290
